T;Name;Series
1;0:00;5
2;0:01;17
3;0:02;6
4;0:03;3
5;0:04;19
6;0:05;7
7;0:06;2
8;0:07;4
9;0:08;6
10;0:09;3
11;0:10;6
12;0:11;18
13;0:12;18
14;0:13;19
15;0:14;8
16;0:15;16
17;0:16;2
18;0:17;19
19;0:18;12
20;0:19;17
21;0:20;7
22;0:21;12
23;0:22;13
24;0:23;18
25;0:24;20
26;0:25;2
27;0:26;10
28;0:27;19
29;0:28;12
30;0:29;20
31;0:30;9
32;0:31;7
33;0:32;18
34;0:33;10
35;0:34;2
36;0:35;13
37;0:36;2
38;0:37;1
39;0:38;1
40;0:39;3
41;0:40;11
42;0:41;5
43;0:42;9
44;0:43;8
45;0:44;20
46;0:45;8
47;0:46;18
48;0:47;7
49;0:48;5
50;0:49;17
51;0:50;6
52;0:51;15
53;0:52;4
54;0:53;9
55;0:54;19
56;0:55;18
57;0:56;3
58;0:57;17
59;0:58;1
60;0:59;12
61;1:00;2
62;1:01;3
63;1:02;15
64;1:03;13
65;1:04;6
66;1:05;16
67;1:06;19
68;1:07;20
69;1:08;13
70;1:09;5
71;1:10;3
72;1:11;1
73;1:12;10
74;1:13;14
75;1:14;18
76;1:15;19
77;1:16;9
78;1:17;15
79;1:18;13
80;1:19;19
81;1:20;5
82;1:21;16
83;1:22;15
84;1:23;18
85;1:24;1
86;1:25;18
87;1:26;14
88;1:27;17
89;1:28;5
90;1:29;3
91;1:30;17
92;1:31;15
93;1:32;4
94;1:33;4
95;1:34;11
96;1:35;10
97;1:36;4
98;1:37;11
99;1:38;18
100;1:39;20
101;1:40;11
102;1:41;13
103;1:42;11
104;1:43;13
105;1:44;10
106;1:45;12
107;1:46;17
108;1:47;12
109;1:48;15
110;1:49;9
111;1:50;14
112;1:51;10
113;1:52;7
114;1:53;10
115;1:54;6
116;1:55;11
117;1:56;7
118;1:57;10
119;1:58;3
120;1:59;20
121;2:00;7
122;2:01;12
123;2:02;18
124;2:03;4
125;2:04;7
126;2:05;3
127;2:06;15
128;2:07;5
129;2:08;11
130;2:09;5
131;2:10;19
132;2:11;6
133;2:12;3
134;2:13;18
135;2:14;3
136;2:15;9
137;2:16;3
138;2:17;5
139;2:18;3
140;2:19;4
141;2:20;10
142;2:21;20
143;2:22;18
144;2:23;10
145;2:24;11
146;2:25;10
147;2:26;15
148;2:27;1
149;2:28;5
150;2:29;20
151;2:30;3
152;2:31;15
153;2:32;4
154;2:33;17
155;2:34;3
156;2:35;19
157;2:36;8
158;2:37;15
159;2:38;20
160;2:39;17
161;2:40;5
162;2:41;2
163;2:42;6
164;2:43;11
165;2:44;11
166;2:45;18
167;2:46;5
168;2:47;18
169;2:48;2
170;2:49;3
171;2:50;6
172;2:51;1
173;2:52;20
174;2:53;15
175;2:54;20
176;2:55;15
177;2:56;3
178;2:57;20
179;2:58;3
180;2:59;18
181;3:00;7
182;3:01;1
183;3:02;14
184;3:03;20
185;3:04;16
186;3:05;14
187;3:06;16
188;3:07;20
189;3:08;11
190;3:09;5
191;3:10;14
192;3:11;20
193;3:12;18
194;3:13;3
195;3:14;16
196;3:15;20
197;3:16;4
198;3:17;1
199;3:18;17
200;3:19;1
201;3:20;5
202;3:21;17
203;3:22;6
204;3:23;3
205;3:24;19
206;3:25;7
207;3:26;2
208;3:27;4
209;3:28;6
210;3:29;3
211;3:30;6
212;3:31;18
213;3:32;18
214;3:33;19
215;3:34;8
216;3:35;16
217;3:36;2
218;3:37;19
219;3:38;12
220;3:39;17
221;3:40;7
222;3:41;12
223;3:42;13
224;3:43;18
225;3:44;20
226;3:45;2
227;3:46;10
228;3:47;19
229;3:48;12
230;3:49;20
231;3:50;9
232;3:51;7
233;3:52;18
234;3:53;10
235;3:54;2
236;3:55;13
237;3:56;2
238;3:57;1
239;3:58;1
240;3:59;3
241;4:00;11
242;4:01;5
243;4:02;9
244;4:03;8
245;4:04;20
246;4:05;8
247;4:06;18
248;4:07;7
249;4:08;5
250;4:09;17
251;4:10;6
252;4:11;15
253;4:12;4
254;4:13;9
255;4:14;19
256;4:15;18
257;4:16;3
258;4:17;17
259;4:18;1
260;4:19;12
261;4:20;2
262;4:21;3
263;4:22;15
264;4:23;13
265;4:24;6
266;4:25;16
267;4:26;19
268;4:27;20
269;4:28;13
270;4:29;5
271;4:30;3
272;4:31;1
273;4:32;10
274;4:33;14
275;4:34;18
276;4:35;19
277;4:36;9
278;4:37;15
279;4:38;13
280;4:39;19
281;4:40;5
282;4:41;16
283;4:42;15
284;4:43;18
285;4:44;1
286;4:45;18
287;4:46;14
288;4:47;17
289;4:48;5
290;4:49;3
291;4:50;17
292;4:51;15
293;4:52;4
294;4:53;4
295;4:54;11
296;4:55;10
297;4:56;4
298;4:57;11
299;4:58;18
