Ряд скользящих средних;Отношение исходного ряда к ряду скользящих средних;Сезонный фактор
;;0,568007618
;;1,025997662
;;1,039600399
;;0,715849789
;;0,831892807
;;0,806426701
2,91667;1,37;1,351375654
3,04167;1,32;0,940831151
3,25000;0,31;1,034914266
3,20833;0,94;1,237262143
3,04167;0,66;1,414086258
3,04167;1,32;1,033755551
2,95833;1,35;0,568007618
2,79167;1,07;1,025997662
2,83333;2,12;1,039600399
3,00000;0,33;0,715849789
3,08333;0,65;0,831892807
3,04167;0,66;0,806426701
2,79167;1,07;1,351375654
2,66667;0,38;0,940831151
2,54167;1,97;1,034914266
2,66667;1,13;0,568007618
2,95833;1,35;1,025997662
3,04167;0,33;1,039600399
3,25000;0,31;0,715849789
3,58333;0,84;0,831892807
3,62500;0,83;0,806426701
3,70833;1,89;1,351375654
3,95833;0,76;0,940831151
4,08333;0,73;1,034914266
4,25000;1,65;1,237262143
4,37500;1,14;1,414086258
4,37500;0,46;1,033755551
4,16667;1,92;0,568007618
4,08333;1,22;1,025997662
4,20833;0,71;1,039600399
4,12500;0,73;0,715849789
3,87500;1,03;0,831892807
3,87500;0,52;0,806426701
3,83333;0,78;1,351375654
3,66667;1,36;0,940831151
3,70833;1,08;1,034914266
3,66667;1,09;0,568007618
3,50000;0,57;1,025997662
3,50000;1,43;1,039600399
3,54167;1,13;0,715849789
3,41667;1,46;0,831892807
3,41667;1,17;0,806426701
3,41667;0,29;1,351375654
3,54167;0,56;0,940831151
3,75000;1,07;1,034914266
3,83333;0,52;1,237262143
;;1,414086258
;;1,033755551
;;0,568007618
;;1,025997662
;;1,039600399
;;0,715849789
