Ряд скользящих средних,Разница между исходным рядом и рядом скользящих средних,Сезонный фактор
,,7530996327.72118
,,-808374796.88421
,,-1831962160.25664
8469195257.8571,1775033826.14286,1197964330.26429
8814998020.1429,-7684644332.14286,1335828382.99124
7770093094.4286,-7390124340.42857,-8835465962.70805
8024636203.7143,8262519892.28571,1411013878.87219
7085613756.0000,1554961420.00000,7530996327.72118
8948746035.4286,-4595593857.42857,-808374796.88421
9328158923.2857,5808859526.71428,-1831962160.25664
7391098751.8571,-3720026801.85714,1197964330.26429
7379967099.2857,6792312544.71429,1335828382.99124
8307749839.5714,-5271890870.57143,-8835465962.70805
6664981133.2857,-3937246237.28571,1411013878.87219
7276338380.1429,1286315227.85714,7530996327.72118
6113316161.7143,4734315198.28571,-808374796.88421
5829388349.0000,-2191750843.00000,-1831962160.25664
5628101858.7143,2322470819.28571,1197964330.26429
5430475895.0000,600648220.00000,1335828382.99124
5567318189.4286,-4518953909.42857,-8835465962.70805
5369238746.0000,-4050509282.00000,1411013878.87219
4679972235.0000,2499299627.00000,7530996327.72118
4041451580.5714,7764075840.42857,-808374796.88421
4035395397.7143,-1784313995.71429,-1831962160.25664
4460653596.8571,-1334946495.85714,1197964330.26429
3815669879.1429,-2254190345.14286,1335828382.99124
3516070545.8571,-2510099545.85714,-8835465962.70805
4417178740.7143,-121641882.71429,1411013878.87219
4664283894.8571,-1999898056.85714,7530996327.72118
5905672937.1429,3802659150.85714,-808374796.88421
6924398938.8571,1634439827.14286,-1831962160.25664
7334592297.4286,-2479149117.42857,1197964330.26429
6977141083.4286,3274061746.57143,1335828382.99124
6714568529.4286,1422484482.57143,-8835465962.70805
5928916747.4286,1237973620.57143,1411013878.87219
5438768636.2857,-5276541296.28571,7530996327.72118
5193578782.7143,2676745427.28571,-808374796.88421
4980769911.0000,-1921493619.00000,-1831962160.25664
4141053174.8571,-2716646772.85714,1197964330.26429
4335900719.5714,4198973135.42857,1335828382.99124
4480726059.0000,2166664851.00000,-8835465962.70805
4777596778.7143,-3488723563.71429,1411013878.87219
4635457616.1429,-3109297463.14286,7530996327.72118
3831262231.1429,5052839354.85714,-808374796.88421
3659341732.1429,1478029597.85714,-1831962160.25664
3486363440.0000,-3056931176.00000,1197964330.26429
4396000721.0000,-1490494561.00000,1335828382.99124
3271598023.2857,2172349393.71429,-8835465962.70805
3099651313.2857,-3021626143.28571,1411013878.87219
3616888734.0000,4276732386.00000,7530996327.72118
3569975728.2857,-2556693026.28571,-808374796.88421
2921521597.2857,1012222762.71429,-1831962160.25664
3407036648.1429,643057560.85714,1197964330.26429
2503099318.2857,74015801.71429,1335828382.99124
2439453128.7143,-1534684628.71429,-8835465962.70805
2044399755.2857,1432230770.71429,1411013878.87219
1571473452.5714,-5413641.57143,7530996327.72118
1604195064.5714,-1036435689.57143,-808374796.88421
2073317763.4286,-904947017.42857,-1831962160.25664
1742639391.1429,-1003029301.14286,1197964330.26429
1867721093.8571,938445310.14286,1335828382.99124
2545381327.5714,1643246064.42857,-8835465962.70805
2847931247.2857,-1686049327.28571,1411013878.87219
3247151606.8571,-805519876.85714,7530996327.72118
3197632771.1429,2113748239.85714,-808374796.88421
