Ряд скользящих средних;Отношение исходного ряда к ряду скользящих средних;Сезонный фактор
;;0,77799
;;1,15396
2,8750;0,69565;1,16203
2,8750;2,08696;0,95856
3,2500;0,30769;0,77799
3,2500;0,92308;1,15396
3,0000;1,33333;1,16203
3,0000;1,33333;0,95856
2,7500;0,36364;0,77799
2,5000;1,20000;1,15396
2,8750;0,69565;1,16203
3,2500;1,23077;0,95856
3,7500;1,06667;0,77799
3,8750;0,77419;1,15396
3,2500;1,84615;1,16203
2,8750;0,34783;0,95856
2,3750;0,84211;0,77799
2,0000;1,00000;1,15396
2,3750;1,26316;1,16203
2,8750;0,34783;0,95856
3,1250;1,60000;0,77799
3,2500;0,92308;1,15396
2,7500;1,45455;1,16203
2,2500;0,44444;0,95856
2,1250;0,47059;0,77799
2,7500;1,09091;1,15396
3,7500;0,80000;1,16203
4,0000;1,75000;0,95856
4,5000;0,66667;0,77799
4,7500;0,63158;1,15396
4,3750;1,60000;1,16203
4,8750;1,02564;0,95856
5,2500;0,38095;0,77799
4,7500;1,68421;1,15396
4,6250;1,08108;1,16203
4,2500;0,70588;0,95856
3,3750;0,88889;0,77799
3,0000;1,33333;1,15396
3,2500;0,61538;1,16203
3,5000;0,85714;0,95856
3,7500;1,33333;0,77799
3,8750;1,03226;1,15396
3,7500;1,06667;1,16203
3,7500;0,53333;0,95856
3,8750;1,29032;0,77799
4,2500;0,94118;1,15396
4,0000;1,25000;1,16203
3,2500;1,23077;0,95856
2,8750;0,34783;0,77799
2,5000;0,80000;1,15396
2,5000;1,60000;1,16203
3,2500;0,61538;0,95856
3,5000;0,85714;0,77799
3,8750;1,54839;1,15396
4,7500;0,42105;1,16203
5,0000;1,40000;0,95856
;;0,77799
;;1,15396
