Ряд скользящих средних;Разница между исходным рядом и рядом скользящих средних;Сезонный фактор
;;-0,66020
;;0,25326
2,8750;-0,87500;0,34186
2,8750;3,12500;0,06508
3,2500;-2,25000;-0,66020
3,2500;-0,25000;0,25326
3,0000;1,00000;0,34186
3,0000;1,00000;0,06508
2,7500;-1,75000;-0,66020
2,5000;0,50000;0,25326
2,8750;-0,87500;0,34186
3,2500;0,75000;0,06508
3,7500;0,25000;-0,66020
3,8750;-0,87500;0,25326
3,2500;2,75000;0,34186
2,8750;-1,87500;0,06508
2,3750;-0,37500;-0,66020
2,0000;0,00000;0,25326
2,3750;0,62500;0,34186
2,8750;-1,87500;0,06508
3,1250;1,87500;-0,66020
3,2500;-0,25000;0,25326
2,7500;1,25000;0,34186
2,2500;-1,25000;0,06508
2,1250;-1,12500;-0,66020
2,7500;0,25000;0,25326
3,7500;-0,75000;0,34186
4,0000;3,00000;0,06508
4,5000;-1,50000;-0,66020
4,7500;-1,75000;0,25326
4,3750;2,62500;0,34186
4,8750;0,12500;0,06508
5,2500;-3,25000;-0,66020
4,7500;3,25000;0,25326
4,6250;0,37500;0,34186
4,2500;-1,25000;0,06508
3,3750;-0,37500;-0,66020
3,0000;1,00000;0,25326
3,2500;-1,25000;0,34186
3,5000;-0,50000;0,06508
3,7500;1,25000;-0,66020
3,8750;0,12500;0,25326
3,7500;0,25000;0,34186
3,7500;-1,75000;0,06508
3,8750;1,12500;-0,66020
4,2500;-0,25000;0,25326
4,0000;1,00000;0,34186
3,2500;0,75000;0,06508
2,8750;-1,87500;-0,66020
2,5000;-0,50000;0,25326
2,5000;1,50000;0,34186
3,2500;-1,25000;0,06508
3,5000;-0,50000;-0,66020
3,8750;2,12500;0,25326
4,7500;-2,75000;0,34186
5,0000;2,00000;0,06508
;;-0,66020
;;0,25326
