T;Name;Series
1;Q1 1900;2
2;Q2 1900;2
3;Q3 1900;2
4;Q4 1900;6
5;Q1 1901;1
6;Q2 1901;3
7;Q3 1901;4
8;Q4 1901;4
9;Q1 1902;1
10;Q2 1902;3
11;Q3 1902;2
12;Q4 1902;4
13;Q1 1903;4
14;Q2 1903;3
15;Q3 1903;6
16;Q4 1903;1
17;Q1 1904;2
18;Q2 1904;2
19;Q3 1904;3
20;Q4 1904;1
21;Q1 1905;5
22;Q2 1905;3
23;Q3 1905;4
24;Q4 1905;1
25;Q1 1906;1
26;Q2 1906;3
27;Q3 1906;3
28;Q4 1906;7
29;Q1 1907;3
30;Q2 1907;3
31;Q3 1907;7
32;Q4 1907;5
33;Q1 1908;2
34;Q2 1908;8
35;Q3 1908;5
36;Q4 1908;3
37;Q1 1909;3
38;Q2 1909;4
39;Q3 1909;2
40;Q4 1909;3
41;Q1 1910;5
42;Q2 1910;4
43;Q3 1910;4
44;Q4 1910;2
45;Q1 1911;5
46;Q2 1911;4
47;Q3 1911;5
48;Q4 1911;4
49;Q1 1912;1
50;Q2 1912;2
51;Q3 1912;4
52;Q4 1912;2
53;Q1 1913;3
54;Q2 1913;6
55;Q3 1913;2
56;Q4 1913;7
57;Q1 1914;5
58;Q2 1914;6
