T,Name,Series
1,пн,6219955840.0
2,вт,11667486658.0
3,ср,13355216685.0
4,чт,10244229084.0
5,пт,1130353688.0
6,сб,379968754.0
7,вс,16287156096.0
8,пн,8640575176.0
9,вт,4353152178.0
10,ср,15137018450.0
11,чт,3671071950.0
12,пт,14172279644.0
13,сб,3035858969.0
14,вс,2727734896.0
15,пн,8562653608.0
16,вт,10847631360.0
17,ср,3637637506.0
18,чт,7950572678.0
19,пт,6031124115.0
20,сб,1048364280.0
21,вс,1318729464.0
22,пн,7179271862.0
23,вт,11805527421.0
24,ср,2251081402.0
25,чт,3125707101.0
26,пт,1561479534.0
27,сб,1005971000.0
28,вс,4295536858.0
29,пн,2664385838.0
30,вт,9708332088.0
31,ср,8558838766.0
32,чт,4855443180.0
33,пт,10251202830.0
34,сб,8137053012.0
35,вс,7166890368.0
36,пн,162227340.0
37,вт,7870324210.0
38,ср,3059276292.0
39,чт,1424406402.0
40,пт,8534873855.0
41,сб,6647390910.0
42,вс,1288873215.0
43,пн,1526160153.0
44,вт,8884101586.0
45,ср,5137371330.0
46,чт,429432264.0
47,пт,2905506160.0
48,сб,5443947417.0
49,вс,78025170.0
50,пн,7893621120.0
51,вт,1013282702.0
52,ср,3933744360.0
53,чт,4050094209.0
54,пт,2577115120.0
55,сб,904768500.0
56,вс,3476630526.0
57,пн,1566059811.0
58,вт,567759375.0
59,ср,1168370746.0
60,чт,739610090.0
61,пт,2806166404.0
62,сб,4188627392.0
63,вс,1161881920.0
64,пн,2441631730.0
65,вт,5311381011.0
66,ср,3286220184.0
67,чт,3534152607.0
68,пт,2459534554.0
69,сб,2983500857.0
70,вс,954066963.0
71,пн,337606456.0
72,вт,1533511911.0
73,ср,2987302016.0
74,чт,20131391158.0
75,пт,1308000708.0
76,сб,7263740286.0
77,вс,3006429729.0
78,пн,12450856843.0
79,вт,2727013732.0
80,ср,14082017440.0
81,чт,1556566446.0
82,пт,5674564810.0
83,сб,14681470350.0
84,вс,17810180934.0
85,пн,12398642542.0
86,вт,9295506532.0
87,ср,5236177944.0
88,чт,3638201760.0
89,пт,9340491003.0
90,сб,4782832913.0
91,вс,3696335525.0
92,пн,6096980790.0
93,вт,4075127388.0
94,ср,8376703955.0
95,чт,2166846663.0
96,пт,2598643954.0
97,сб,1841409603.0
98,вс,3147587532.0
99,пн,7643882250.0
100,вт,2506279596.0
101,ср,5855426916.0
102,чт,8756115784.0
103,пт,3384314363.0
104,сб,4635473115.0
105,вс,766219850.0
106,пн,11988045300.0
107,вт,5603334704.0
108,ср,1258945083.0
109,чт,3543264970.0
110,пт,3958712493.0
111,сб,2825255616.0
112,вс,8333655168.0
113,пн,1824326730.0
114,вт,4771726260.0
115,ср,8115220581.0
116,чт,2552040404.0
117,пт,8432861528.0
118,сб,5842065504.0
119,вс,3355182890.0
120,пн,1260661407.0
121,вт,8403135264.0
122,ср,1570504640.0
123,чт,4943868326.0
124,пт,4746891344.0
125,сб,5901612636.0
126,вс,556037840.0
127,пн,1124337100.0
128,вт,4343618898.0
129,ср,3289645449.0
130,чт,4173459675.0
131,пт,2289411751.0
132,сб,3552062212.0
133,вс,2404096004.0
134,пн,3557340193.0
135,вт,553501440.0
136,ср,3272023885.0
137,чт,295925589.0
138,пт,305654472.0
139,сб,380867649.0
140,вс,5477870706.0
141,пн,3681897916.0
142,вт,6470467903.0
143,ср,3633240028.0
144,чт,2315306415.0
145,пт,12357972480.0
146,сб,15747107266.0
147,вс,3460335786.0
148,пн,10322429400.0
149,вт,1014778853.0
150,ср,2209609565.0
151,чт,5880972744.0
152,пт,4847122336.0
153,сб,1869614202.0
154,вс,3198901900.0
155,пн,621132150.0
156,вт,15327772578.0
157,ср,8757820643.0
158,чт,3431909300.0
159,пт,10227509028.0
160,сб,2491395360.0
161,вс,1321094781.0
162,пн,1627846608.0
163,вт,7815172910.0
164,ср,7678842930.0
165,чт,785963952.0
166,пт,12950937851.0
167,сб,6921507835.0
168,вс,8290118914.0
169,пн,5397841845.0
170,вт,6858703818.0
171,ср,1868200875.0
172,чт,2292616896.0
173,пт,7372240806.0
174,сб,2376605192.0
175,вс,337556235.0
176,пн,6504928605.0
177,вт,3616353840.0
178,ср,3278378796.0
179,чт,8498459024.0
180,пт,3355620345.0
181,сб,7059428910.0
182,вс,1456464351.0
183,пн,3844285542.0
184,вт,7009348332.0
185,ср,7479721260.0
186,чт,425141640.0
187,пт,1973434919.0
188,сб,4269801292.0
189,вс,4913300938.0
190,пн,3330411040.0
191,вт,3670418094.0
192,ср,1221627168.0
193,чт,7323121888.0
194,пт,4467405760.0
195,сб,3169495772.0
196,вс,6755793200.0
197,пн,6577909398.0
198,вт,7880312320.0
199,ср,641092200.0
200,чт,1722496338.0
201,пт,6428613873.0
202,сб,6434982525.0
203,вс,3631138303.0
204,пн,5974731432.0
205,вт,219107492.0
206,ср,5123679216.0
207,чт,3587530320.0
208,пт,5573017173.0
209,сб,4851102306.0
210,вс,370319256.0
211,пн,689058978.0
212,вт,2596123710.0
213,ср,1650017677.0
214,чт,6197566353.0
215,пт,1550500424.0
216,сб,2264323755.0
217,вс,5429436800.0
218,пн,17915470208.0
219,вт,7548285222.0
220,ср,5311842948.0
221,чт,3410262992.0
222,пт,3703291633.0
223,сб,8486328296.0
224,вс,40449616.0
225,пн,12769932810.0
226,вт,2514775320.0
227,ср,6879834000.0
228,чт,20238534890.0
229,пт,8828817426.0
230,сб,910006544.0
231,вс,2391905551.0
232,пн,3619770000.0
233,вт,8065287906.0
234,ср,5508029545.0
235,чт,3989650400.0
236,пт,5208956370.0
237,сб,10161223200.0
238,вс,519305353.0
239,пн,2917253751.0
240,вт,1900677414.0
241,ср,2041687395.0
242,чт,7956315162.0
243,пт,7881277250.0
244,сб,7927909828.0
245,вс,4548980948.0
246,пн,2098241600.0
247,вт,4236941565.0
248,ср,895306125.0
249,чт,244175690.0
250,пт,1302991932.0
251,сб,543259376.0
252,вс,5883476742.0
253,пн,2437845730.0
254,вт,1730155260.0
255,ср,2983100016.0
256,чт,3106297151.0
257,пт,3325855770.0
258,сб,9302596065.0
259,вс,7864122183.0
260,пн,3274812702.0
261,вт,2415033075.0
262,ср,4306848532.0
263,чт,8156949170.0
264,пт,513006321.0
265,сб,1391778852.0
266,вс,4255976880.0
267,пн,3305080190.0
268,вт,6204427112.0
269,ср,3475605108.0
270,чт,96006960.0
271,пт,5964293000.0
272,сб,5613148944.0
273,вс,4783078137.0
274,пн,3918576375.0
275,вт,2143044374.0
276,ср,4978241764.0
277,чт,6045151448.0
278,пт,6937649554.0
279,сб,5013716720.0
280,вс,3903978242.0
281,пн,1382246523.0
282,вт,6173094024.0
283,ср,4280979351.0
284,чт,6305666200.0
285,пт,5025266497.0
286,сб,5267892536.0
287,вс,347539060.0
288,пн,609111462.0
289,вт,6968409583.6
290,ср,3354831351.5
291,чт,7301645388.6
292,пт,5764648055.1
293,сб,6284658836.9
294,вс,5284250106.6
295,пн,1554669661.9
296,вт,5541387210.0
297,ср,2214416268.7
298,чт,957306101.4
299,пт,407925645.2
300,сб,216129483.6
301,вс,3739775614.9
302,пн,4781232780.1
303,вт,702426422.8
304,ср,3084740947.9
305,чт,4353892268.0
306,пт,5006942212.5
307,сб,3815123014.5
308,вс,4983583198.4
309,пн,693942058.2
310,вт,6388213362.4
311,ср,6359621179.8
312,чт,2902517429.2
313,пт,745971560.5
314,сб,596547478.6
315,вс,6339709827.7
316,пн,6894100764.7
317,вт,659480607.2
318,ср,4895111273.4
319,чт,70467395.7
320,пт,2049041911.9
321,сб,4445277040.8
322,вс,6380594828.3
323,пн,6491724556.8
324,вт,4746592110.0
325,ср,3237439619.5
326,чт,473291626.3
327,пт,5723246373.8
328,сб,3338399217.9
329,вс,560679835.0
330,пн,577067575.7
331,вт,4775366739.8
332,ср,2426210516.4
333,чт,1581992303.2
334,пт,1403166321.0
335,сб,5705583559.8
336,вс,1004658921.0
337,пн,301876688.9
338,вт,444795632.2
339,ср,4540640233.0
340,чт,2837489612.5
341,пт,62402501.6
342,сб,866094842.1
343,вс,791888707.7
344,пн,4779979571.2
345,вт,701637396.5
346,ср,529434756.2
347,чт,3239032723.1
348,пт,3328153694.3
349,сб,3159917512.6
350,вс,522986514.0
351,пн,4253570988.7
352,вт,4095310809.0
353,ср,4326138922.6
354,чт,2951873873.2
355,пт,3321875996.0
356,сб,4029207330.3
357,вс,3481194948.8
358,пн,4046320064.9
359,вт,2986214924.0
360,ср,4424121282.1
361,чт,604595597.0
362,пт,4455217907.5
363,сб,122507627.8
364,вс,3461082212.2
365,пн,772187834.0
366,вт,1682293441.2
367,ср,893618930.1
368,чт,3190319134.8
369,пт,1752635117.4
370,сб,4717871871.8
371,вс,3396147297.8
372,пн,4193395480.8
373,вт,3861497045.3
374,ср,1682265401.3
375,чт,63989746.8
376,пт,3855772687.2
377,сб,4374725799.6
378,вс,2071264160.0
379,пн,635113236.6
380,вт,4467236324.2
381,ср,715285443.2
382,чт,3413879323.5
383,пт,3506322124.2
384,сб,1804217961.9
385,вс,2145689307.1
386,пн,610142892.8
387,вт,1814050496.2
388,ср,3657218003.9
389,чт,649094033.6
390,пт,2614268036.6
391,сб,2221471118.8
392,вс,1322433764.6
393,пн,2411625342.5
394,вт,677108045.4
395,ср,2537824960.0
396,чт,3272807326.6
397,пт,604976539.3
398,сб,3705806996.1
399,вс,1382635731.4
400,пн,2721181439.8
401,вт,3227681556.3
402,ср,374894798.4
403,чт,1784800.7
404,пт,23089293.0
405,сб,1242684005.0
406,вс,2982697661.4
407,пн,1496846065.9
408,вт,880860098.0
409,ср,1364734097.2
410,чт,1542137312.1
